asset_id,hostname,classe,tipo_ativo,fabricante_hw,modelo_hw,so_vendor,so_produto,so_versao,so_versao_norm,app_vendor,app_produto,app_versao,app_versao_norm,ip_address,criticidade,ambiente,status,departamento_ou_aplicacao_hospedada,localizacao_ou_hospedagem,responsavel_ou_equipe_ti,data_aquisicao,ultimo_inventario
ASSET-0021,SRVAPP-WIN-021,Servidor,Servidor de Aplicação,Lenovo,ThinkSystem SR630,Red Hat,Red Hat Enterprise Linux 9,9.0,9.0,Oracle Corporation,MySQL Server,8.0.20,8.0.20,10.0.1.179,BAIXA,Desenvolvimento,Ativo,API Gateway,On-Premise,Suporte N3 - Aplicações,2023-06-17,2024-06-07
ASSET-0022,SRVAPP-WIN-022,Servidor,Servidor de Aplicação,HPE,ProLiant DL380 Gen10,Microsoft,Windows Server 2025,10.0.26100.0,10.0.26100.0,Fortinet,FortiOS,7.4.0,7.4.0,10.0.1.192,ALTA,Produção,Ativo,Sistema Financeiro,Cloud - GCP,Infraestrutura N3,2023-12-16,2024-06-10
ASSET-0023,SRVAPP-WIN-023,Servidor,Servidor de Aplicação,Dell,PowerEdge R750,Microsoft,Windows Server 2022,10.0.20348.2700,10.0.20348.2700,SAP_SE,SAP NetWeaver Application Server for ABAP,SAP_BASIS 740,740,10.0.1.173,BAIXA,Produção,Descomissionado,ERP SAP,Cloud - Azure,Infraestrutura N3,2024-05-22,2024-09-09
ASSET-0024,SRVAPP-WIN-024,Servidor,Servidor de Aplicação,Dell,PowerEdge R650,Microsoft,Windows Server 2022,10.0.20348.2700,10.0.20348.2700,IBM,Db2,11.5.10,11.5.10,10.0.1.240,ALTA,Homologação,Ativo,BI / Analytics,Cloud - Azure,Suporte N3 - Aplicações,2020-12-23,2025-02-09
ASSET-0025,SRVAPP-WIN-025,Servidor,Servidor de Aplicação,IBM,FlexSystem x240 M5,Microsoft,Windows Server 2019,10.0.17763.5000,10.0.17763.5000,Adobe,ColdFusion,2025.1,2025.1,10.0.1.118,MÉDIA,Homologação,Ativo,Portal Corporativo,On-Premise,Infraestrutura N3,2024-01-12,2024-08-06
ASSET-0026,SRVAPP-WIN-026,Servidor,Servidor de Aplicação,HPE,ProLiant DL360 Gen10,Red Hat,Red Hat Enterprise Linux 7,7.0,7.0,Oracle Corporation,Oracle Java SE,8u451,8.0.451,10.0.1.73,ALTA,Desenvolvimento,Ativo,ERP SAP,On-Premise,Suporte N3 - Aplicações,2024-11-10,2025-10-31
ASSET-0027,SRVAPP-WIN-027,Servidor,Servidor de Aplicação,Supermicro,SuperServer 2029P,Red Hat,Red Hat Enterprise Linux 7,7.0,7.0,Oracle Corporation,MySQL Server,8.0.20,8.0.20,10.0.1.68,CRÍTICA,Produção,Ativo,BI / Analytics,On-Premise,Infraestrutura N3,2021-01-20,2024-10-15
ASSET-0028,SRVAPP-WIN-028,Servidor,Servidor de Aplicação,IBM,Power S1022,Microsoft,Windows Server 2025,10.0.26100.0,10.0.26100.0,curl,curl,8.4.0,8.4.0,10.0.1.130,MÉDIA,Desenvolvimento,Em manutenção,BI / Analytics,Cloud - GCP,Suporte N3 - Aplicações,2019-01-14,2025-10-11
ASSET-0029,SRVAPP-WIN-029,Servidor,Servidor de Aplicação,IBM,Power S1022,Red Hat,Red Hat Enterprise Linux 9,9.4,9.4,Juniper Networks,Junos OS,22.4,22.4,10.0.1.164,BAIXA,Produção,Ativo,ERP SAP,On-Premise,Infraestrutura N3,2022-10-18,2025-07-28
ASSET-0030,SRVAPP-WIN-030,Servidor,Servidor de Aplicação,Dell,PowerEdge R540,Microsoft,Windows Server 2022,10.0.20348.0,10.0.20348.0,Oracle Corporation,Oracle Java SE,11.0.25,11.0.25,10.0.1.214,ALTA,Homologação,Ativo,CRM Salesforce,Cloud - Azure,Infraestrutura N3,2018-06-21,2024-11-11
ASSET-0031,SRVAPP-WIN-031,Servidor,Servidor de Aplicação,Dell,PowerEdge R650,Linux,Linux,5.15.170,5.15.170,,,,,10.0.1.171,CRÍTICA,Homologação,Em manutenção,CRM Salesforce,Cloud - GCP,Infraestrutura N3,2022-07-23,2025-09-27
ASSET-0032,SRVAPP-WIN-032,Servidor,Servidor de Aplicação,HPE,ProLiant DL380 Gen10,Microsoft,Windows Server 2019,10.0.17763.5000,10.0.17763.5000,,,,,10.0.1.46,MÉDIA,Produção,Descomissionado,CRM Salesforce,Cloud - AWS,Infraestrutura N3,2020-10-13,2024-09-30
ASSET-0033,SRVAPP-WIN-033,Servidor,Servidor de Aplicação,Dell,PowerEdge R650,Microsoft,Windows Server 2019,10.0.17763.7500,10.0.17763.7500,Cisco,Cisco IOS XE Software,17.13.1,17.13.1,10.0.1.52,BAIXA,Produção,Ativo,ERP SAP,Cloud - AWS,Infraestrutura N3,2020-07-21,2024-08-16
ASSET-0034,SRVAPP-WIN-034,Servidor,Servidor de Aplicação,HPE,ProLiant DL360 Gen10,Microsoft,Windows Server 2022,10.0.20348.0,10.0.20348.0,Adobe,ColdFusion,2025.1,2025.1,10.0.1.248,MÉDIA,Produção,Ativo,Portal Corporativo,On-Premise,Infraestrutura N3,2024-01-06,2024-12-05
ASSET-0035,SRVAPP-WIN-035,Servidor,Servidor de Aplicação,IBM,Power S1022,Microsoft,Windows Server 2022,10.0.20348.0,10.0.20348.0,Oracle Corporation,Oracle Java SE,11.0.25,11.0.25,10.0.1.28,MÉDIA,Produção,Ativo,Sistema Financeiro,On-Premise,Infraestrutura N3,2022-11-23,2025-09-12
ASSET-0036,SRVAPP-WIN-036,Servidor,Servidor de Aplicação,Lenovo,ThinkSystem SR650,Red Hat,Red Hat Enterprise Linux 7,7.0,7.0,Oracle Corporation,Oracle Java SE,11.0.25,11.0.25,10.0.1.1,MÉDIA,Desenvolvimento,Ativo,Portal Corporativo,On-Premise,Suporte N3 - Aplicações,2020-03-18,2025-01-07
ASSET-0037,SRVAPP-WIN-037,Servidor,Servidor de Aplicação,IBM,FlexSystem x240 M5,Red Hat,Red Hat Enterprise Linux 9,9.4,9.4,Oracle Corporation,MySQL Server,9.0.0,9.0.0,10.0.1.130,ALTA,Produção,Ativo,BI / Analytics,On-Premise,Suporte N3 - Aplicações,2021-04-26,2025-07-21
ASSET-0038,SRVAPP-WIN-038,Servidor,Servidor de Aplicação,Lenovo,ThinkSystem SR630,Microsoft,Windows Server 2019,10.0.17763.5000,10.0.17763.5000,Oracle Corporation,Oracle Java SE,17.0.15,17.0.15,10.0.1.158,MÉDIA,Produção,Em manutenção,BI / Analytics,Cloud - GCP,Infraestrutura N3,2021-05-29,2024-10-20
ASSET-0039,SRVAPP-WIN-039,Servidor,Servidor de Aplicação,Supermicro,SuperServer 2029P,Microsoft,Windows Server 2025,10.0.26100.0,10.0.26100.0,Fortinet,FortiWeb,7.4.0,7.4.0,10.0.1.173,ALTA,Produção,Em manutenção,API Gateway,Cloud - AWS,Suporte N3 - Aplicações,2019-11-27,2025-11-05
ASSET-0040,SRVAPP-WIN-040,Servidor,Servidor de Aplicação,Supermicro,SuperServer 2029P,Microsoft,Windows Server 2022,10.0.20348.4300,10.0.20348.4300,Fortinet,FortiOS,7.4.0,7.4.0,10.0.1.58,BAIXA,Produção,Ativo,ERP SAP,On-Premise,Suporte N3 - Aplicações,2023-05-01,2025-09-17
ASSET-0041,SRVAPP-WIN-041,Servidor,Servidor de Aplicação,Lenovo,ThinkSystem SR650,Microsoft,Windows Server 2022,10.0.20348.4300,10.0.20348.4300,Fortinet,FortiWeb,7.4.7,7.4.7,10.0.1.127,ALTA,Produção,Ativo,BI / Analytics,Cloud - GCP,Suporte N3 - Aplicações,2019-03-13,2025-03-11
ASSET-0042,SRVAPP-WIN-042,Servidor,Servidor de Aplicação,Supermicro,SuperServer 2029P,Microsoft,Windows Server 2025,10.0.26100.4000,10.0.26100.4000,Oracle Corporation,Oracle Java SE,17.0.13,17.0.13,10.0.1.235,BAIXA,Produção,Em manutenção,ERP SAP,Cloud - Azure,Infraestrutura N3,2023-12-16,2025-07-26
ASSET-0043,SRVAPP-WIN-043,Servidor,Servidor de Aplicação,Lenovo,ThinkSystem SR630,Linux,Linux,5.15.80,5.15.80,Cisco,Cisco IOS XE Software,17.12.1,17.12.1,10.0.1.191,BAIXA,Produção,Ativo,Sistema Financeiro,Cloud - AWS,Infraestrutura N3,2021-02-09,2025-06-17
ASSET-0044,SRVAPP-WIN-044,Servidor,Servidor de Aplicação,HPE,ProLiant DL360 Gen10,Red Hat,Red Hat Enterprise Linux 8,8.10,8.10,Adobe,ColdFusion,2023.0,2023.0,10.0.1.61,ALTA,Produção,Ativo,API Gateway,On-Premise,Suporte N3 - Aplicações,2019-07-21,2024-06-03
ASSET-0045,SRVAPP-WIN-045,Servidor,Servidor de Aplicação,HPE,ProLiant DL380 Gen10,Microsoft,Windows Server 2025,10.0.26100.4000,10.0.26100.4000,Fortinet,FortiOS,7.2.12,7.2.12,10.0.1.85,MÉDIA,Produção,Ativo,ERP SAP,Cloud - AWS,Suporte N3 - Aplicações,2022-09-17,2025-02-02
ASSET-0046,SRVAPP-WIN-046,Servidor,Servidor de Aplicação,Supermicro,SuperServer 2029P,Microsoft,Windows Server 2022,10.0.20348.0,10.0.20348.0,Juniper Networks,Junos OS,23.4R2,23.4.2,10.0.1.77,MÉDIA,Desenvolvimento,Descomissionado,API Gateway,On-Premise,Suporte N3 - Aplicações,2022-09-13,2025-07-05
ASSET-0047,SRVAPP-WIN-047,Servidor,Servidor de Aplicação,HPE,ProLiant DL360 Gen10,Microsoft,Windows Server 2025,10.0.26100.4000,10.0.26100.4000,SAP_SE,SAP NetWeaver Application Server for ABAP,SAP_BASIS 750,750,10.0.1.100,ALTA,Homologação,Ativo,API Gateway,Cloud - AWS,Infraestrutura N3,2019-11-08,2025-04-23
ASSET-0048,SRVAPP-WIN-048,Servidor,Servidor de Aplicação,Supermicro,SuperServer 1029P,Microsoft,Windows Server 2019,10.0.17763.5000,10.0.17763.5000,IBM,Db2,11.5.10,11.5.10,10.0.1.22,MÉDIA,Produção,Ativo,API Gateway,Cloud - Azure,Infraestrutura N3,2018-07-25,2024-09-23
ASSET-0049,SRVAPP-WIN-049,Servidor,Servidor de Aplicação,HPE,ProLiant DL360 Gen10,Red Hat,Red Hat Enterprise Linux 9,9.0,9.0,Fortinet,FortiOS,7.4.6,7.4.6,10.0.1.72,MÉDIA,Desenvolvimento,Ativo,Portal Corporativo,On-Premise,Suporte N3 - Aplicações,2018-12-02,2025-04-26
ASSET-0050,SRVAPP-WIN-050,Servidor,Servidor de Aplicação,Supermicro,SuperServer 1029P,Microsoft,Windows Server 2022,10.0.20348.0,10.0.20348.0,curl,curl,8.11.1,8.11.1,10.0.1.200,BAIXA,Produção,Ativo,Portal Corporativo,On-Premise,Infraestrutura N3,2020-10-09,2024-07-23
ASSET-0051,SRVDB-WIN-001,Servidor,Servidor de Banco de Dados,HPE,ProLiant DL380 Gen10,Microsoft,Windows Server 2022,10.0.20348.0,10.0.20348.0,IBM,Db2,11.5.10,11.5.10,10.0.2.145,BAIXA,Produção,Ativo,BD do ERP,Cloud - AWS,Time de DBAs,2022-02-19,2024-06-20
ASSET-0052,SRVDB-WIN-002,Servidor,Servidor de Banco de Dados,HPE,ProLiant DL360 Gen10,Microsoft,Windows Server 2019,10.0.17763.0,10.0.17763.0,Cisco,Cisco IOS XE Software,17.12.1,17.12.1,10.0.2.238,ALTA,Homologação,Descomissionado,BD Financeiro,Cloud - Azure,Time de DBAs,2022-06-13,2024-07-22
ASSET-0053,SRVDB-WIN-003,Servidor,Servidor de Banco de Dados,HPE,ProLiant DL380 Gen10,Microsoft,Windows Server 2022,10.0.20348.4300,10.0.20348.4300,IBM,Db2,11.5.0,11.5.0,10.0.2.204,BAIXA,Homologação,Ativo,BD Analítico (DW),Cloud - GCP,Time de DBAs,2022-10-21,2025-11-08
ASSET-0054,SRVDB-WIN-004,Servidor,Servidor de Banco de Dados,Supermicro,SuperServer 2029P,Linux,Linux,5.15.170,5.15.170,Oracle Corporation,MySQL Server,9.0.0,9.0.0,10.0.2.28,ALTA,Produção,Em manutenção,BD Financeiro,Cloud - AWS,Infraestrutura N3,2023-02-27,2025-12-25
ASSET-0055,SRVDB-WIN-005,Servidor,Servidor de Banco de Dados,HPE,ProLiant DL360 Gen10,Microsoft,Windows Server 2019,10.0.17763.5000,10.0.17763.5000,Fortinet,FortiWeb,7.4.0,7.4.0,10.0.2.212,MÉDIA,Produção,Em manutenção,BD Operacional,Cloud - AWS,Infraestrutura N3,2018-12-21,2024-10-12
ASSET-0056,SRVDB-WIN-006,Servidor,Servidor de Banco de Dados,Lenovo,ThinkSystem SR630,Red Hat,Red Hat Enterprise Linux 8,8.0,8.0,Oracle Corporation,Oracle Java SE,8u431,8.0.431,10.0.2.218,ALTA,Produção,Ativo,BD Analítico (DW),On-Premise,Infraestrutura N3,2020-11-24,2024-12-14
ASSET-0057,SRVDB-WIN-007,Servidor,Servidor de Banco de Dados,Supermicro,SuperServer 2029P,Linux,Linux,6.1.100,6.1.100,,,,,10.0.2.22,ALTA,Produção,Ativo,BD Financeiro,Cloud - Azure,Time de DBAs,2020-09-11,2025-12-08
ASSET-0058,SRVDB-WIN-008,Servidor,Servidor de Banco de Dados,Lenovo,ThinkSystem SR630,Red Hat,Red Hat Enterprise Linux 8,8.10,8.10,Adobe,ColdFusion,2023.0,2023.0,10.0.2.57,ALTA,Produção,Ativo,BD Financeiro,On-Premise,Infraestrutura N3,2022-02-20,2025-04-29
ASSET-0059,SRVDB-WIN-009,Servidor,Servidor de Banco de Dados,Lenovo,ThinkSystem SR630,Red Hat,Red Hat Enterprise Linux 7,7.0,7.0,Fortinet,FortiOS,7.2.0,7.2.0,10.0.2.70,ALTA,Produção,Ativo,BD Analítico (DW),Cloud - GCP,Infraestrutura N3,2021-07-16,2024-05-02
ASSET-0060,SRVDB-WIN-010,Servidor,Servidor de Banco de Dados,HPE,ProLiant DL360 Gen10,Microsoft,Windows Server 2019,10.0.17763.7500,10.0.17763.7500,Oracle Corporation,Oracle Java SE,17.0.15,17.0.15,10.0.2.252,CRÍTICA,Produção,Ativo,BD Analítico (DW),Cloud - GCP,Infraestrutura N3,2020-01-05,2024-11-05
ASSET-0061,SRVDB-WIN-011,Servidor,Servidor de Banco de Dados,Supermicro,SuperServer 1029P,Microsoft,Windows Server 2022,10.0.20348.0,10.0.20348.0,curl,curl,8.4.0,8.4.0,10.0.2.142,ALTA,Desenvolvimento,Ativo,BD Analítico (DW),On-Premise,Time de DBAs,2023-07-04,2024-04-15
ASSET-0062,SRVDB-WIN-012,Servidor,Servidor de Banco de Dados,IBM,FlexSystem x240 M5,Microsoft,Windows Server 2022,10.0.20348.0,10.0.20348.0,IBM,Db2,11.5.0,11.5.0,10.0.2.48,BAIXA,Produção,Em manutenção,BD Operacional,Cloud - AWS,Infraestrutura N3,2019-04-13,2024-03-07
ASSET-0063,SRVDB-WIN-013,Servidor,Servidor de Banco de Dados,Dell,PowerEdge R540,Red Hat,Red Hat Enterprise Linux 9,9.0,9.0,SAP_SE,SAP NetWeaver Application Server for ABAP,SAP_BASIS 750,750,10.0.2.208,MÉDIA,Produção,Descomissionado,BD Financeiro,On-Premise,Time de DBAs,2019-05-01,2025-07-25
ASSET-0064,SRVDB-WIN-014,Servidor,Servidor de Banco de Dados,Supermicro,SuperServer 1029P,Red Hat,Red Hat Enterprise Linux 9,9.4,9.4,IBM,Db2,11.5.10,11.5.10,10.0.2.77,BAIXA,Desenvolvimento,Ativo,BD Operacional,Cloud - AWS,Infraestrutura N3,2024-12-18,2024-03-02
ASSET-0065,SRVDB-WIN-015,Servidor,Servidor de Banco de Dados,HPE,ProLiant DL380 Gen10,Microsoft,Windows Server 2019,10.0.17763.0,10.0.17763.0,Cisco,Cisco IOS XE Software,17.12.1,17.12.1,10.0.2.41,ALTA,Homologação,Ativo,BD Analítico (DW),Cloud - GCP,Time de DBAs,2022-08-01,2025-04-06
ASSET-0066,SRVDB-WIN-016,Servidor,Servidor de Banco de Dados,Dell,PowerEdge R750,Red Hat,Red Hat Enterprise Linux 8,8.10,8.10,Fortinet,FortiOS,7.4.0,7.4.0,10.0.2.180,BAIXA,Produção,Ativo,BD Analítico (DW),Cloud - GCP,Infraestrutura N3,2020-12-19,2025-10-02
ASSET-0067,SRVDB-WIN-017,Servidor,Servidor de Banco de Dados,Dell,PowerEdge R540,Microsoft,Windows Server 2025,10.0.26100.0,10.0.26100.0,Fortinet,FortiWeb,7.4.0,7.4.0,10.0.2.233,ALTA,Produção,Ativo,BD do ERP,Cloud - GCP,Time de DBAs,2021-06-13,2025-09-01
ASSET-0068,SRVDB-WIN-018,Servidor,Servidor de Banco de Dados,Dell,PowerEdge R650,Linux,Linux,6.1.130,6.1.130,Fortinet,FortiWeb,7.4.7,7.4.7,10.0.2.242,ALTA,Produção,Ativo,BD Analítico (DW),Cloud - GCP,Infraestrutura N3,2024-09-15,2024-02-10
ASSET-0069,SRVDB-WIN-019,Servidor,Servidor de Banco de Dados,IBM,FlexSystem x240 M5,Red Hat,Red Hat Enterprise Linux 9,9.4,9.4,curl,curl,8.11.1,8.11.1,10.0.2.247,MÉDIA,Desenvolvimento,Ativo,BD Financeiro,On-Premise,Time de DBAs,2018-03-26,2025-11-19
ASSET-0070,SRVDB-WIN-020,Servidor,Servidor de Banco de Dados,Dell,PowerEdge R750,Linux,Linux,6.1.100,6.1.100,IBM,Db2,11.5.0,11.5.0,10.0.2.235,ALTA,Desenvolvimento,Ativo,BD Operacional,Cloud - Azure,Infraestrutura N3,2023-07-08,2024-04-03
ASSET-0071,SRVDB-WIN-021,Servidor,Servidor de Banco de Dados,Lenovo,ThinkSystem SR630,Red Hat,Red Hat Enterprise Linux 8,8.10,8.10,Fortinet,FortiOS,7.2.0,7.2.0,10.0.2.220,ALTA,Produção,Ativo,BD Analítico (DW),Cloud - GCP,Time de DBAs,2022-06-29,2025-07-17
ASSET-0072,SRVDB-WIN-022,Servidor,Servidor de Banco de Dados,Dell,PowerEdge R650,Microsoft,Windows Server 2022,10.0.20348.2700,10.0.20348.2700,Fortinet,FortiWeb,7.4.7,7.4.7,10.0.2.249,MÉDIA,Desenvolvimento,Em manutenção,BD Analítico (DW),On-Premise,Time de DBAs,2018-01-05,2025-11-04
ASSET-0073,SRVDB-WIN-023,Servidor,Servidor de Banco de Dados,Dell,PowerEdge R750,Red Hat,Red Hat Enterprise Linux 8,8.0,8.0,Fortinet,FortiWeb,7.4.0,7.4.0,10.0.2.161,ALTA,Produção,Ativo,BD Analítico (DW),Cloud - Azure,Infraestrutura N3,2019-06-21,2024-10-21
ASSET-0074,SRVDB-WIN-024,Servidor,Servidor de Banco de Dados,Lenovo,ThinkSystem SR650,Red Hat,Red Hat Enterprise Linux 8,8.0,8.0,,,,,10.0.2.182,ALTA,Homologação,Ativo,BD Financeiro,Cloud - GCP,Time de DBAs,2019-01-17,2024-08-18
ASSET-0075,SRVDB-WIN-025,Servidor,Servidor de Banco de Dados,Dell,PowerEdge R540,Microsoft,Windows Server 2019,10.0.17763.0,10.0.17763.0,Fortinet,FortiWeb,7.4.7,7.4.7,10.0.2.131,MÉDIA,Produção,Ativo,BD do ERP,Cloud - AWS,Infraestrutura N3,2023-04-19,2024-09-06
ASSET-0076,SRVDB-WIN-026,Servidor,Servidor de Banco de Dados,HPE,ProLiant DL360 Gen10,Red Hat,Red Hat Enterprise Linux 8,8.0,8.0,SAP_SE,SAP NetWeaver Application Server ABAP,SAP_BASIS 731,731,10.0.2.222,CRÍTICA,Homologação,Em manutenção,BD do ERP,Cloud - Azure,Time de DBAs,2021-10-24,2025-06-03
ASSET-0077,SRVDB-WIN-027,Servidor,Servidor de Banco de Dados,Dell,PowerEdge R650,Linux,Linux,6.1.100,6.1.100,Juniper Networks,Junos OS,22.4,22.4,10.0.2.222,CRÍTICA,Produção,Ativo,BD Analítico (DW),Cloud - Azure,Infraestrutura N3,2024-03-10,2025-07-10
ASSET-0078,SRVDB-WIN-028,Servidor,Servidor de Banco de Dados,IBM,Power S1022,Red Hat,Red Hat Enterprise Linux 9,9.0,9.0,Fortinet,FortiWeb,7.4.7,7.4.7,10.0.2.60,BAIXA,Produção,Ativo,BD do ERP,Cloud - Azure,Infraestrutura N3,2023-04-22,2025-12-23
